Genes	MR.Ctrl.3dpi	MR.Ctrl.8dpi	MR.Ptr.3dpi	MR.Ptr.8dpi	Sus.Crtl.3dpi	Sus.Crtl.8dpi	Sus.Ptr.3dpi	Sus.Ptr.8dpi
TraesCS6B02G041100	-0.022096716388712946	-0.6358491562162771	1.3631354033878715	0.8868023015476745	-1.6908160050297456	-0.9562558758777978	1.0846621465364101	-0.029582097959425523
TraesCS6B02G041800	-1.2788911453237437	-0.5606236779040592	-0.3002275424621623	0.8707904755460195	-1.2788911453237437	-0.09712173864645951	1.4939632588384126	1.1510015152757356
TraesCS6B02G042000	0.20614552905359437	0.813097564791184	-1.156221642223639	-1.156221642223639	0.937553230250438	1.5509033314590714	-1.156221642223639	-0.03903472888337108
TraesCS6B02G043500	-0.6858565408999296	-1.7266279755442173	-0.3877050927549839	1.7686825135343824	0.19962339561953035	-0.18200387612565302	-0.07736976095401464	1.0912573371248857
TraesCS6B02G045000	-0.9974234877278112	-0.9974234877278112	-0.9974234877278112	-0.9974234877278112	1.129250696516068	0.9601250338125952	0.8554657667004755	1.044852453882107
TraesCS6B02G045100	-0.9859477604025513	-0.9859477604025513	-0.9859477604025513	-0.9859477604025513	1.2791514396076256	1.053811879988332	0.6217059458684916	0.9891217761457558
TraesCS6B02G051700	-1.2505869818480169	-1.1195538730864554	0.32959964395813474	1.0391516210861667	-0.9553007166669003	-0.0736861323208675	1.727549069728349	0.3028273691495889
TraesCS6B02G052400	-1.1546373119923532	-0.5536201869738939	-0.4160998103898179	0.14473490190937807	-0.3737979916083052	-0.6543039142755844	2.237070448703166	0.7706538646274109
TraesCS6B02G056200	1.046940628606388	0.9735604055458784	0.036016115573380934	-0.38122202294339724	0.36255831369687264	0.37786480284886437	-2.3518412915276663	-0.06387695180032613
TraesCS6B02G059300	-1.16726936764752	-1.16726936764752	-0.17666769759472659	0.5903876346165293	-1.16726936764752	0.5698874129186154	1.395552668457644	1.1226480845444986
TraesCS6B02G060100	0.6913188863232784	0.5493258079305858	1.0999553195605511	1.4679751881684269	-1.090333051391239	-1.090333051391239	-1.090333051391239	-0.5375760478091249
TraesCS6B02G063800	0.7328173572703165	0.8988464459817336	-0.7964465677393587	-1.1469468868185548	1.3508631964235418	0.9330839806035699	-1.1663050673331683	-0.8059124583880796
TraesCS6B02G063900	-1.2817406498820227	0.7682854441333739	-0.7089551129568229	1.567055944251771	-1.2403273294277344	-0.24778836859339065	0.044941037072627386	1.0985290354022013
TraesCS6B02G067800	-0.8558201632061165	-1.7115674646594556	0.5529451184767677	0.3516081280974023	-0.8137075882716173	0.0020874752894477475	1.5414846739141594	0.9329698203594123
TraesCS6B02G070900	0.6524391504046727	1.231572026493758	-0.2892162218963293	-0.20703221932604216	0.9769188746093664	0.6523209041769089	-1.508501257231167	-1.508501257231167
TraesCS6B02G075200	-0.16539897768827283	-1.3916162568857664	0.1480567757934542	0.6173839725219393	1.3741441238308625	-1.285239878973231	1.3120580879830375	-0.609387846582028
TraesCS6B02G076100	-1.3608751697199137	-0.9846946420688214	-0.03375299873901427	0.9923261788369708	-1.0109075166437604	-0.10185706413420134	1.383732755617945	1.1160284568507952
TraesCS6B02G079600	-1.0479061527395483	-1.0479061527395483	1.0180208740178323	0.2577695172052115	-1.0479061527395483	-0.36298457062006023	1.816392501484504	0.41452013613115724
TraesCS6B02G080000	-0.6001485686756123	-1.5318822366059857	0.636706990512058	1.091405618423419	-0.9031719805382195	-0.5630097569327728	1.5735090489695425	0.2965908848475721
